name,sku,category,price_default_text,price_default,price_status,variants_json,description,image_count,product_url,source_site,last_checked,raw_text
Almond salt cookies,8938516386290,,"60,000₫",60000,available,"[{""variant_name"": ""130g"", ""variant_price_text"": ""60,000₫"", ""variant_price"": 60000}]",,13,https://nguyenson.vn/products/almond-salt-cookies,Nguyễn Sơn Bakery,2026-04-23 09:49:36,"Tên sản phẩm: Almond salt cookies | SKU: 8938516386290 | Giá mặc định: 60,000₫ | Biến thể: 130g - 60,000₫ | Số lượng ảnh: 13 | Nguồn: https://nguyenson.vn/products/almond-salt-cookies"
Almond Tuile cookies,8938516386269,,"60,000₫",60000,available,"[{""variant_name"": ""100g"", ""variant_price_text"": ""60,000₫"", ""variant_price"": 60000}]",,13,https://nguyenson.vn/products/almond-tuile-cookies,Nguyễn Sơn Bakery,2026-04-23 09:49:38,"Tên sản phẩm: Almond Tuile cookies | SKU: 8938516386269 | Giá mặc định: 60,000₫ | Biến thể: 100g - 60,000₫ | Số lượng ảnh: 13 | Nguồn: https://nguyenson.vn/products/almond-tuile-cookies"
Banana Cheese Cake,116195,,"40,000₫",40000,available,"[{""variant_name"": ""110g"", ""variant_price_text"": ""40,000₫"", ""variant_price"": 40000}]",,12,https://nguyenson.vn/products/banana-cheese-cake,Nguyễn Sơn Bakery,2026-04-23 09:49:40,"Tên sản phẩm: Banana Cheese Cake | SKU: 116195 | Giá mặc định: 40,000₫ | Biến thể: 110g - 40,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/banana-cheese-cake"
Bánh bao chay cốm,,,Liên hệ,,contact_required,[],,9,https://nguyenson.vn/products/banh-bao-chay-com,Nguyễn Sơn Bakery,2026-04-23 09:49:42,Tên sản phẩm: Bánh bao chay cốm | Giá: Liên hệ | Số lượng ảnh: 9 | Nguồn: https://nguyenson.vn/products/banh-bao-chay-com
Bánh Bao Khoai Môn,,,Liên hệ,,contact_required,[],,9,https://nguyenson.vn/products/banh-bao-chay-khoai-mon,Nguyễn Sơn Bakery,2026-04-23 09:49:44,Tên sản phẩm: Bánh Bao Khoai Môn | Giá: Liên hệ | Số lượng ảnh: 9 | Nguồn: https://nguyenson.vn/products/banh-bao-chay-khoai-mon
Bánh bao chay trắng,,,Liên hệ,,contact_required,[],,9,https://nguyenson.vn/products/banh-bao-chay-trang,Nguyễn Sơn Bakery,2026-04-23 09:49:45,Tên sản phẩm: Bánh bao chay trắng | Giá: Liên hệ | Số lượng ảnh: 9 | Nguồn: https://nguyenson.vn/products/banh-bao-chay-trang
Bánh Bao Đậu Xanh,,,Liên hệ,,contact_required,[],,9,https://nguyenson.vn/products/banh-bao-dau-xanh-2,Nguyễn Sơn Bakery,2026-04-23 09:49:47,Tên sản phẩm: Bánh Bao Đậu Xanh | Giá: Liên hệ | Số lượng ảnh: 9 | Nguồn: https://nguyenson.vn/products/banh-bao-dau-xanh-2
Bánh Bao Thập Cẩm Trứng Cút,,,Liên hệ,,contact_required,[],,9,https://nguyenson.vn/products/banh-bao-thap-cam-trung-cut,Nguyễn Sơn Bakery,2026-04-23 09:49:48,Tên sản phẩm: Bánh Bao Thập Cẩm Trứng Cút | Giá: Liên hệ | Số lượng ảnh: 9 | Nguồn: https://nguyenson.vn/products/banh-bao-thap-cam-trung-cut
Bánh Butter Raisins,114141,,"33,000₫",33000,available,"[{""variant_name"": ""140g"", ""variant_price_text"": ""33,000₫"", ""variant_price"": 33000}]",,12,https://nguyenson.vn/products/banh-butter-raisins,Nguyễn Sơn Bakery,2026-04-23 09:49:50,"Tên sản phẩm: Bánh Butter Raisins | SKU: 114141 | Giá mặc định: 33,000₫ | Biến thể: 140g - 33,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/banh-butter-raisins"
Bánh Cake Chuối,114143,,"29,000₫",29000,available,"[{""variant_name"": ""Hộp"", ""variant_price_text"": ""29,000₫"", ""variant_price"": 29000}]",,12,https://nguyenson.vn/products/banh-cake-chuoi,Nguyễn Sơn Bakery,2026-04-23 09:49:51,"Tên sản phẩm: Bánh Cake Chuối | SKU: 114143 | Giá mặc định: 29,000₫ | Biến thể: Hộp - 29,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/banh-cake-chuoi"
Bánh chả thập cẩm,113186,,"25,000₫",25000,available,"[{""variant_name"": ""Hộp"", ""variant_price_text"": ""25,000₫"", ""variant_price"": 25000}]",,10,https://nguyenson.vn/products/banh-cha-thap-cam,Nguyễn Sơn Bakery,2026-04-23 09:49:53,"Tên sản phẩm: Bánh chả thập cẩm | SKU: 113186 | Giá mặc định: 25,000₫ | Biến thể: Hộp - 25,000₫ | Số lượng ảnh: 10 | Nguồn: https://nguyenson.vn/products/banh-cha-thap-cam"
Bánh Croissant,111100,,"19,000₫",19000,available,"[{""variant_name"": ""50g"", ""variant_price_text"": ""19,000₫"", ""variant_price"": 19000}]",,12,https://nguyenson.vn/products/banh-croissant,Nguyễn Sơn Bakery,2026-04-23 09:49:54,"Tên sản phẩm: Bánh Croissant | SKU: 111100 | Giá mặc định: 19,000₫ | Biến thể: 50g - 19,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/banh-croissant"
Bánh croissant đông lạnh,115516,,"57,000₫",57000,available,"[{""variant_name"": ""Hộp 3 chiếc"", ""variant_price_text"": ""57,000₫"", ""variant_price"": 57000}]",,12,https://nguyenson.vn/products/banh-croissant-dong-lanh,Nguyễn Sơn Bakery,2026-04-23 09:49:56,"Tên sản phẩm: Bánh croissant đông lạnh | SKU: 115516 | Giá mặc định: 57,000₫ | Biến thể: Hộp 3 chiếc - 57,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/banh-croissant-dong-lanh"
Bánh Cuộn Ruốc,111175,,"27,000₫",27000,available,"[{""variant_name"": ""Hộp"", ""variant_price_text"": ""27,000₫"", ""variant_price"": 27000}]",,12,https://nguyenson.vn/products/banh-cuon-ruoc,Nguyễn Sơn Bakery,2026-04-23 09:49:57,"Tên sản phẩm: Bánh Cuộn Ruốc | SKU: 111175 | Giá mặc định: 27,000₫ | Biến thể: Hộp - 27,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/banh-cuon-ruoc"
